Area Code (FAO),Area,Area_jp,lat,lon,Item,Value
184,Rwanda,ルワンダ,-1.9483086,30.06036,コーヒー豆,12612
184,Rwanda,ルワンダ,-1.9483086,30.06036,茶葉,5910
189,Saint Lucia,セントルシア,14.0101094,-60.9874687,カカオ豆,43
191,Saint Vincent and the Grenadines,セントビンセント・グレナディーン,13.1547518,-61.2245362,カカオ豆,387
196,Seychelles,セーシェル,-4.6234329,55.4514333,茶葉,107
202,South Africa,南アフリカ共和国,-25.7440354,28.1936545,茶葉,1456
38,Sri Lanka,スリランカ,6.883201,79.906982,カカオ豆,3524
38,Sri Lanka,スリランカ,6.883201,79.906982,コーヒー豆,13581
38,Sri Lanka,スリランカ,6.883201,79.906982,茶葉,132263
207,Suriname,スリナム,5.8267931,-55.1512507,カカオ豆,10
207,Suriname,スリナム,5.8267931,-55.1512507,コーヒー豆,8
216,Thailand,タイ王国,13.7538189,100.5018236,コーヒー豆,43217
176,Timor-Leste,東ティモール,-8.5558455,125.5542215,コーヒー豆,18077
217,Togo,トーゴ,6.1377778,1.2125,カカオ豆,20039
217,Togo,トーゴ,6.1377778,1.2125,コーヒー豆,20081
220,Trinidad and Tobago,トリニダード・トバゴ,10.6666667,-61.5166667,コーヒー豆,987
223,Türkiye,トルコ,39.9395921,32.8382867,茶葉,150470
231,United States of America,アメリカ合衆国,38.9041,-77.0171,コーヒー豆,63631
155,Vanuatu,バヌアツ,-17.734818,168.3220289,カカオ豆,5848
155,Vanuatu,バヌアツ,-17.734818,168.3220289,コーヒー豆,100
236,Venezuela (Bolivarian Republic of),ベネズエラ,10.491016,-66.902061,カカオ豆,250399
236,Venezuela (Bolivarian Republic of),ベネズエラ,10.491016,-66.902061,コーヒー豆,320573
237,Viet Nam,ベトナム,21.0333333,105.85,コーヒー豆,2833858
237,Viet Nam,ベトナム,21.0333333,105.85,茶葉,82788
249,Yemen,イエメン,15.3558942,44.2063384,コーヒー豆,193060
